Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.5e-07,300.5,2.7e-07,300,0.0172
301,9.5e-07,301,4.23e-07,301,0.0108
302,9.5e-07,301.5,1e-08,302,0.00649
303,9.5e-07,302,1e-08,303,0.011
304,9.5e-07,302.5,1.21e-07,304,0.0111
305,9.5e-07,303,1.14e-07,305,0.0167
306,9.5e-07,303.5,1.11e-07,306,0.00958
307,9.5e-07,304,1e-08,307,0.00386
308,9.5e-07,304.5,4.9e-07,308,0.00661
309,9.5e-07,305,4.01e-07,309,0.00446
310,1.05e-06,305.5,3.13e-07,310,0.00764
311,2.82e-06,306,1.72e-07,311,0.00501
312,4.64e-06,306.5,1.35e-07,312,0.00193
313,6.08e-06,307,7.5e-07,313,0.00389
314,6.06e-06,307.5,9.28e-08,314,0.00229
315,2.67e-06,308,3.37e-07,315,0.00159
316,1.82e-06,308.5,5.33e-08,316,0.0021
317,4.14e-06,309,3.52e-07,317,0.000567
318,3.42e-06,309.5,8.74e-08,318,0.000701
319,2.73e-06,310,1e-08,319,0.00102
320,4.34e-06,310.5,4.5e-07,320,0.00132
321,2.8e-06,311,2.23e-07,321,0.00127
322,1.9e-06,311.5,3.04e-07,322,0.000799
323,2.17e-06,312,2.68e-07,323,0.00122
324,2.52e-06,312.5,4.83e-07,324,0.000394
325,3.46e-06,313,4.41e-07,325,0.000636
326,4.57e-06,313.5,1.51e-07,326,0.000845
327,2.13e-06,314,5.62e-07,327,0.000512
328,1.94e-06,314.5,1.55e-07,328,0.000883
329,2.3e-06,315,5.22e-08,329,0.000446
330,2.14e-06,315.5,5.16e-07,330,0.00042
331,9.5e-07,316,3.77e-08,331,0.000609
332,1.75e-06,316.5,6.93e-07,332,0.00105
333,1.35e-06,317,1.88e-07,333,0.000459
334,1.26e-06,317.5,6.07e-08,334,0.000712
335,1.34e-06,318,7.9e-07,335,0.001
336,1.09e-06,318.5,8.92e-07,336,0.000709
337,1.21e-06,319,5.26e-07,337,0.00103
338,1.18e-06,319.5,1.96e-07,338,0.000742
339,1.34e-06,320,3.55e-07,339,0.00108
340,1.03e-06,320.5,6.08e-07,340,0.000921
341,9.5e-07,321,1.27e-07,341,0.000884
342,2.5e-06,321.5,6.97e-07,342,0.00111
343,1.68e-06,322,2.7e-07,343,0.00103
344,9.5e-07,322.5,2.81e-07,344,0.00104
345,1.15e-06,323,5.3e-07,345,0.0011
346,1.06e-06,323.5,4.66e-07,346,0.00129
347,9.5e-07,324,2.13e-07,347,0.00101
348,9.5e-07,324.5,6.31e-07,348,0.00115
349,9.5e-07,325,3.25e-07,349,0.00122
350,9.5e-07,325.5,1.62e-07,350,0.00128
351,9.5e-07,326,4.68e-07,351,0.00125
352,2.53e-06,326.5,5.59e-07,352,0.00153
353,3.58e-06,327,2.83e-07,353,0.00168
354,9.5e-07,327.5,3.54e-07,354,0.00175
355,9.5e-07,328,4.38e-07,355,0.00167
356,9.5e-07,328.5,4.07e-07,356,0.00163
357,9.5e-07,329,3.48e-08,357,0.00155
358,9.5e-07,329.5,7.25e-07,358,0.00155
359,9.5e-07,330,3.65e-08,359,0.00163
360,9.5e-07,330.5,4.5e-07,360,0.00205
361,9.5e-07,331,6.07e-08,361,0.00258
362,9.5e-07,331.5,1.01e-07,362,0.0027
363,9.5e-07,332,2.92e-07,363,0.00252
364,9.5e-07,332.5,6.97e-07,364,0.00216
365,9.5e-07,333,2.14e-07,365,0.00199
366,9.5e-07,333.5,1.59e-07,366,0.00224
367,9.5e-07,334,3.42e-07,367,0.00263
368,9.5e-07,334.5,2.95e-07,368,0.00361
369,9.5e-07,335,4.18e-07,369,0.00477
370,9.5e-07,335.5,5.07e-07,370,0.00496
371,9.5e-07,336,1.97e-07,371,0.00413
372,9.5e-07,336.5,3.03e-07,372,0.00343
373,9.5e-07,337,3.31e-07,373,0.00324
374,9.5e-07,337.5,1e-08,374,0.00389
375,9.5e-07,338,3.27e-07,375,0.00545
376,9.5e-07,338.5,1.96e-07,376,0.0084
377,9.5e-07,339,4.92e-07,377,0.0102
378,9.5e-07,339.5,4.9e-07,378,0.00879
379,2.23e-06,340,6.13e-07,379,0.00569
380,0.000102,340.5,5.98e-07,380,0.00432
381,0.00146,341,2.16e-07,381,0.00417
382,0.22,341.5,3.77e-07,382,0.00471
383,0.838,342,2.27e-07,383,0.0063
384,0.932,342.5,4.42e-07,384,0.0136
385,0.94,343,4.58e-07,385,0.02
386,0.945,343.5,4.04e-07,386,0.0125
387,0.942,344,4.53e-07,387,0.00689
388,0.945,344.5,4.03e-07,388,0.00498
389,0.955,345,1.09e-07,389,0.00508
390,0.951,345.5,2.37e-07,390,0.00452
391,0.952,346,3.2e-07,391,0.00487
392,0.948,346.5,2.11e-07,392,0.00431
393,0.936,347,4.33e-07,393,0.00425
394,0.946,347.5,1.48e-07,394,0.00369
395,0.949,348,4.42e-07,395,0.00277
396,0.961,348.5,4.85e-07,396,0.00349
397,0.961,349,3.79e-07,397,0.00337
398,0.954,349.5,4.15e-07,398,0.00357
399,0.949,350,2.14e-07,399,0.00373
400,0.94,350.5,2.39e-07,400,0.00283
401,0.956,351,2.24e-07,401,0.00288
402,0.965,351.5,2.33e-07,402,0.0031
403,0.965,352,1.26e-07,403,0.00309
404,0.946,352.5,4.12e-07,404,0.00346
405,0.929,353,1.39e-07,405,0.00365
406,0.932,353.5,4.5e-07,406,0.00395
407,0.496,354,2.64e-07,407,0.00417
408,0.0307,354.5,1.13e-07,408,0.00418
409,0.000699,355,3.43e-07,409,0.00502
410,4.77e-05,355.5,4.25e-07,410,0.00678
411,4.54e-06,356,2.64e-07,411,0.0085
412,1.73e-06,356.5,3.47e-07,412,0.0107
413,1.02e-06,357,3.05e-07,413,0.0132
414,1.31e-06,357.5,2.71e-07,414,0.0163
415,1.34e-06,358,2.05e-07,415,0.0197
416,9.5e-07,358.5,6.95e-07,416,0.0249
