Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,5.81e-08,301,9.5e-07,380,0.107
301,6.03e-08,302,9.5e-07,381,0.127
302,6.25e-08,303,9.5e-07,382,0.147
303,1e-10,304,9.5e-07,383,0.112
304,5.48e-09,305,9.5e-07,384,0.026
305,1.7e-07,306,9.5e-07,385,0.0049
306,1e-10,307,9.5e-07,386,0.00255
307,3.24e-07,308,9.5e-07,387,0.00267
308,6.05e-07,309,9.5e-07,388,0.00145
309,2.44e-07,310,9.5e-07,389,0.000764
310,1.12e-07,311,9.5e-07,390,0.000366
311,2.33e-08,312,9.5e-07,391,0.00126
312,1e-10,313,9.5e-07,392,0.00149
313,3.84e-07,314,9.5e-07,393,0.000255
314,3.87e-07,315,9.5e-07,394,0.000534
315,1e-10,316,9.5e-07,395,0.000536
316,1.43e-07,317,9.5e-07,396,0.00104
317,4.74e-08,318,1.08e-06,397,0.000587
318,1.62e-07,319,9.5e-07,398,0.000444
319,1.52e-07,320,9.5e-07,399,0.0011
320,1e-10,321,9.5e-07,400,0.000805
321,1e-10,322,9.5e-07,401,0.00135
322,2.61e-07,323,9.5e-07,402,0.00197
323,1e-10,324,9.5e-07,403,0.00449
324,1e-10,325,9.5e-07,404,0.0202
325,1e-10,326,9.5e-07,405,0.0653
326,2.26e-07,327,9.5e-07,406,0.099
327,1.09e-07,328,9.5e-07,407,0.134
328,6.19e-07,329,9.5e-07,408,0.267
329,1e-10,330,9.5e-07,409,0.416
330,2.9e-07,331,9.5e-07,410,0.399
331,9.83e-08,332,9.5e-07,411,0.374
332,1e-10,333,9.5e-07,412,0.465
333,1.65e-08,334,9.5e-07,413,0.455
334,1e-10,335,9.5e-07,414,0.358
335,2.77e-07,336,9.5e-07,415,0.361
336,1e-10,337,9.5e-07,416,0.429
337,3.81e-07,338,9.5e-07,417,0.468
338,2.72e-07,339,9.5e-07,418,0.407
339,4.99e-07,340,9.5e-07,419,0.399
340,1e-10,341,9.5e-07,420,0.506
341,1e-10,342,9.5e-07,421,0.66
342,2.29e-08,343,3.03e-06,422,0.694
343,1e-10,344,2.8e-06,423,0.595
344,2.62e-07,345,5.49e-06,424,0.539
345,1e-10,346,7.39e-06,425,0.601
346,1e-10,347,3.5e-06,426,0.7
347,1e-10,348,1.56e-06,427,0.726
348,2.69e-08,349,1.12e-06,428,0.707
349,1.27e-07,350,2.24e-06,429,0.669
350,4.21e-07,351,1.78e-06,430,0.608
351,1e-10,352,1.37e-06,431,0.551
352,3.37e-07,353,9.5e-07,432,0.546
353,3.11e-07,354,9.5e-07,433,0.591
354,1.78e-07,355,9.5e-07,434,0.673
355,2.17e-07,356,9.5e-07,435,0.703
356,1e-10,357,9.5e-07,436,0.619
357,1e-10,358,9.5e-07,437,0.517
358,2.74e-07,359,9.5e-07,438,0.464
359,1e-10,360,9.5e-07,439,0.491
360,3.01e-07,361,9.5e-07,440,0.578
361,1.01e-07,362,9.5e-07,441,0.66
362,3.2e-07,363,9.5e-07,442,0.656
363,1e-10,364,9.5e-07,443,0.575
364,1.75e-09,365,9.5e-07,444,0.505
365,1.25e-07,366,9.5e-07,445,0.483
366,3.29e-07,367,9.5e-07,446,0.518
367,3.12e-07,368,9.5e-07,447,0.585
368,3.75e-07,369,3.65e-06,448,0.645
369,1.19e-06,370,9.5e-07,449,0.674
370,5.53e-07,371,9.5e-07,450,0.66
371,5.84e-07,372,9.5e-07,451,0.625
372,7.1e-07,373,9.5e-07,452,0.595
373,7.39e-07,374,9.5e-07,453,0.583
374,1.04e-06,375,9.5e-07,454,0.586
375,1e-10,376,9.5e-07,455,0.602
376,1.5e-07,377,9.5e-07,456,0.615
377,5.83e-08,378,9.5e-07,457,0.62
378,1e-10,379,9.5e-07,458,0.609
379,6.77e-08,380,9.5e-07,459,0.574
380,5.23e-08,381,9.5e-07,460,0.528
381,9.96e-08,382,9.5e-07,461,0.479
382,1e-10,383,9.5e-07,462,0.429
383,1.38e-07,384,9.5e-07,463,0.393
384,1e-10,385,9.5e-07,464,0.369
385,3.32e-08,386,9.5e-07,465,0.366
386,1.3e-07,387,9.5e-07,466,0.385
387,6.35e-08,388,9.5e-07,467,0.409
388,2.22e-07,389,9.5e-07,468,0.408
389,1e-10,390,9.5e-07,469,0.362
390,3.83e-07,391,9.5e-07,470,0.282
391,1.12e-07,392,9.5e-07,471,0.217
392,1e-10,393,9.5e-07,472,0.172
393,8.35e-08,394,9.5e-07,473,0.162
394,4.96e-08,395,9.5e-07,474,0.193
395,7.08e-08,396,9.5e-07,475,0.282
396,1e-10,397,9.5e-07,476,0.386
397,1e-10,398,9.5e-07,477,0.424
398,1e-10,399,9.5e-07,478,0.389
399,6.03e-08,400,9.5e-07,479,0.309
