Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.5e-07,300,9.66e-07,350,0.0436
301,9.5e-07,301,9.5e-07,351,0.0778
302,9.5e-07,302,9.5e-07,352,0.109
303,9.5e-07,303,9.5e-07,353,0.125
304,9.5e-07,304,9.5e-07,354,0.113
305,1.3e-06,305,9.5e-07,355,0.104
306,1.5e-06,306,1.89e-06,356,0.133
307,9.5e-07,307,9.5e-07,357,0.212
308,2.61e-06,308,1.02e-06,358,0.312
309,9.5e-07,309,1.85e-06,359,0.344
310,9.5e-07,310,9.5e-07,360,0.306
311,9.5e-07,311,9.5e-07,361,0.257
312,9.5e-07,312,3.26e-06,362,0.262
313,9.5e-07,313,9.5e-07,363,0.312
314,9.66e-07,314,9.5e-07,364,0.346
315,3.34e-06,315,9.5e-07,365,0.347
316,9.5e-07,316,9.5e-07,366,0.338
317,9.5e-07,317,2.36e-06,367,0.324
318,1.02e-06,318,9.5e-07,368,0.277
319,9.56e-07,319,3.66e-06,369,0.208
320,9.5e-07,320,9.5e-07,370,0.186
321,9.5e-07,321,9.5e-07,371,0.224
322,9.5e-07,322,9.5e-07,372,0.265
323,1.75e-06,323,9.5e-07,373,0.212
324,9.5e-07,324,8.21e-06,374,0.0988
325,9.5e-07,325,9.5e-07,375,0.0338
326,9.5e-07,326,9.5e-07,376,0.014
327,9.5e-07,327,1.48e-06,377,0.00861
328,9.5e-07,328,1.11e-06,378,0.00662
329,9.5e-07,329,2.56e-06,379,0.00579
330,9.5e-07,330,9.5e-07,380,0.00559
331,9.5e-07,331,1.46e-06,381,0.00595
332,9.5e-07,332,9.5e-07,382,0.00709
333,9.5e-07,333,9.5e-07,383,0.00898
334,9.5e-07,334,2.18e-06,384,0.0134
335,9.5e-07,335,3.18e-06,385,0.0223
336,9.5e-07,336,9.5e-07,386,0.035
337,9.5e-07,337,9.5e-07,387,0.0423
338,9.5e-07,338,9.5e-07,388,0.0346
339,9.5e-07,339,1.32e-06,389,0.0237
340,9.5e-07,340,2.09e-06,390,0.0182
341,9.5e-07,341,2.08e-06,391,0.0176
342,9.5e-07,342,1.24e-06,392,0.023
343,1.05e-06,343,2.99e-06,393,0.029
344,9.5e-07,344,1.94e-06,394,0.0295
345,9.5e-07,345,2.76e-06,395,0.0237
346,9.5e-07,346,3.96e-06,396,0.0159
347,9.5e-07,347,4.61e-06,397,0.0104
348,9.5e-07,348,5.6e-06,398,0.0089
349,9.5e-07,349,1.07e-05,399,0.00928
350,9.5e-07,350,2.9e-05,400,0.0113
351,9.5e-07,351,3.12e-05,401,0.0147
352,9.5e-07,352,2.25e-05,402,0.0167
353,9.5e-07,353,4.59e-05,403,0.0148
354,9.5e-07,354,0.000102,404,0.00998
355,9.5e-07,355,7.01e-05,405,0.00648
356,9.5e-07,356,1.49e-05,406,0.00525
357,9.5e-07,357,9.29e-06,407,0.00417
358,1.39e-06,358,8.74e-05,408,0.00439
359,9.5e-07,359,0.000409,409,0.00505
360,9.5e-07,360,0.000116,410,0.00792
361,9.5e-07,361,1.15e-05,411,0.0106
362,9.5e-07,362,7.18e-06,412,0.0113
363,9.5e-07,363,6.12e-05,413,0.00954
364,9.5e-07,364,6.74e-05,414,0.00612
365,9.5e-07,365,4.26e-05,415,0.00413
366,9.5e-07,366,2.42e-05,416,0.00327
367,9.5e-07,367,2.65e-05,417,0.00284
368,9.5e-07,368,4.63e-05,418,0.00314
369,9.5e-07,369,7.36e-06,419,0.00384
370,9.5e-07,370,5.27e-06,420,0.00485
371,9.5e-07,371,4.42e-05,421,0.00647
372,9.5e-07,372,0.000425,422,0.00907
373,9.5e-07,373,0.000156,423,0.00959
374,9.5e-07,374,3.82e-06,424,0.00827
375,9.5e-07,375,3.22e-06,425,0.00563
376,9.5e-07,376,8.48e-05,426,0.00353
377,9.5e-07,377,3.48e-05,427,0.00306
378,1.05e-06,378,5.03e-06,428,0.00246
379,9.5e-07,379,6.33e-06,429,0.00294
380,9.5e-07,380,5.37e-05,430,0.00322
381,9.5e-07,381,2.01e-05,431,0.00454
382,9.5e-07,382,9.5e-07,432,0.00688
383,9.5e-07,383,8.8e-06,433,0.00997
384,9.5e-07,384,1.29e-05,434,0.0119
385,9.5e-07,385,9.5e-07,435,0.0106
386,9.5e-07,386,2.23e-06,436,0.00722
387,9.5e-07,387,1.55e-06,437,0.00487
388,9.5e-07,388,1e-06,438,0.00296
389,9.5e-07,389,9.5e-07,439,0.00267
390,1.31e-06,390,9.5e-07,440,0.00264
391,1.05e-06,391,9.5e-07,441,0.00331
392,9.5e-07,392,9.5e-07,442,0.00477
393,1.04e-06,393,9.5e-07,443,0.00671
394,1.01e-06,394,9.5e-07,444,0.0118
395,1.09e-06,395,9.5e-07,445,0.0186
396,1.72e-06,396,9.5e-07,446,0.0186
397,1.16e-06,397,9.5e-07,447,0.0121
398,1.7e-06,398,9.5e-07,448,0.0064
399,9.5e-07,399,9.5e-07,449,0.00365
400,9.5e-07,400,9.5e-07,450,0.00313
401,9.5e-07,401,9.5e-07,451,0.00338
402,9.5e-07,402,9.5e-07,452,0.00351
403,9.5e-07,403,9.5e-07,453,0.00313
404,9.5e-07,404,9.5e-07,454,0.00482
405,9.5e-07,405,9.5e-07,455,0.0124
406,9.5e-07,406,9.5e-07,456,0.0269
407,9.5e-07,407,9.5e-07,457,0.0287
408,9.5e-07,408,9.5e-07,458,0.0138
409,9.5e-07,409,9.5e-07,459,0.00343
410,9.5e-07,410,9.5e-07,460,0.00147
411,9.5e-07,411,9.5e-07,461,0.000799
412,9.5e-07,412,9.5e-07,462,0.000677
413,9.5e-07,413,9.5e-07,463,0.000402
414,9.5e-07,414,9.5e-07,464,0.000403
415,9.5e-07,415,9.5e-07,465,0.000379
416,9.5e-07,416,9.5e-07,466,0.000295
417,9.5e-07,417,9.5e-07,467,0.000357
418,9.5e-07,418,9.5e-07,468,0.00027
419,9.5e-07,419,9.5e-07,469,0.000364
420,9.5e-07,420,9.5e-07,470,0.000282
421,9.5e-07,421,9.5e-07,471,0.000164
422,9.5e-07,422,9.5e-07,472,0.000333
423,9.5e-07,423,9.5e-07,473,0.000318
424,9.5e-07,424,9.5e-07,474,0.000272
425,9.5e-07,425,9.5e-07,475,0.000373
426,9.5e-07,426,9.5e-07,476,0.000366
427,9.5e-07,427,9.5e-07,477,0.000425
428,9.5e-07,428,9.5e-07,478,0.000512
429,9.5e-07,429,9.5e-07,479,0.000464
430,9.5e-07,430,9.5e-07,480,0.000534
431,9.5e-07,431,9.5e-07,481,0.000656
432,9.5e-07,432,9.5e-07,482,0.000725
433,9.5e-07,433,9.5e-07,483,0.000971
434,9.5e-07,434,9.5e-07,484,0.00131
435,9.5e-07,435,9.5e-07,485,0.00173
436,9.5e-07,436,9.5e-07,486,0.00238
437,9.5e-07,437,9.5e-07,487,0.00332
438,9.5e-07,438,9.5e-07,488,0.00462
439,9.5e-07,439,9.5e-07,489,0.00684
440,9.5e-07,440,9.5e-07,490,0.00984
441,9.5e-07,441,9.5e-07,491,0.0135
442,9.5e-07,442,9.5e-07,492,0.0187
443,9.5e-07,443,9.5e-07,493,0.0263
444,9.5e-07,444,9.5e-07,494,0.0351
445,9.5e-07,445,9.5e-07,495,0.0458
446,9.5e-07,446,9.5e-07,496,0.0598
447,9.5e-07,447,9.5e-07,497,0.0809
448,9.5e-07,448,9.5e-07,498,0.106
449,9.5e-07,449,9.5e-07,499,0.144
450,9.5e-07,450,9.5e-07,500,0.191
451,9.5e-07,451,9.5e-07,501,0.25
452,9.53e-07,452,9.5e-07,502,0.314
453,1.51e-06,453,9.5e-07,503,0.384
454,2.48e-06,454,9.5e-07,504,0.443
455,4.13e-06,455,9.5e-07,505,0.491
456,1.03e-05,456,9.5e-07,506,0.549
457,2.89e-05,457,9.5e-07,507,0.628
458,8.35e-05,458,9.5e-07,508,0.733
459,0.000297,459,9.5e-07,509,0.833
460,0.00124,460,9.5e-07,510,0.897
461,0.00552,461,9.5e-07,511,0.929
462,0.0251,462,9.5e-07,512,0.941
463,0.12,463,9.5e-07,513,0.945
464,0.47,464,9.5e-07,514,0.947
465,0.877,465,9.5e-07,515,0.947
466,0.934,466,9.5e-07,516,0.948
467,0.937,467,9.5e-07,517,0.948
468,0.965,468,9.5e-07,518,0.947
469,0.978,469,9.5e-07,519,0.945
470,0.971,470,9.5e-07,520,0.943
471,0.96,471,9.5e-07,521,0.94
472,0.961,472,9.5e-07,522,0.939
473,0.97,473,9.5e-07,523,0.938
474,0.977,474,9.5e-07,524,0.938
475,0.978,475,9.5e-07,525,0.939
476,0.973,476,9.5e-07,526,0.94
477,0.976,477,9.5e-07,527,0.941
478,0.974,478,9.5e-07,528,0.942
479,0.974,479,9.5e-07,529,0.942
480,0.978,480,9.5e-07,530,0.942
481,0.978,481,9.5e-07,531,0.941
482,0.978,482,9.5e-07,532,0.941
483,0.973,483,9.5e-07,533,0.939
484,0.976,484,9.5e-07,534,0.939
485,0.978,485,9.5e-07,535,0.941
486,0.978,486,9.5e-07,536,0.942
487,0.973,487,9.5e-07,537,0.942
488,0.97,488,9.5e-07,538,0.943
489,0.976,489,9.5e-07,539,0.944
490,0.976,490,9.5e-07,540,0.945
491,0.976,491,9.5e-07,541,0.945
492,0.979,492,9.5e-07,542,0.945
493,0.949,493,9.5e-07,543,0.945
494,0.478,494,9.5e-07,544,0.944
495,0.239,495,9.5e-07,545,0.943
496,0.0331,496,9.5e-07,546,0.942
497,0.0118,497,9.5e-07,547,0.942
498,0.00333,498,9.5e-07,548,0.942
499,0.00112,499,9.5e-07,549,0.944
500,0.000435,500,9.5e-07,550,0.945
501,0.000187,501,9.5e-07,551,0.947
502,8.62e-05,502,9.5e-07,552,0.948
503,4.11e-05,503,9.5e-07,553,0.948
504,2.12e-05,504,1.98e-06,554,0.949
505,1.11e-05,505,5.31e-06,555,0.949
506,4.75e-06,506,1.28e-05,556,0.948
507,2.92e-06,507,3.49e-05,557,0.946
508,1.45e-06,508,9.92e-05,558,0.942
509,9.65e-07,509,0.000308,559,0.941
510,9.5e-07,510,0.00113,560,0.939
511,9.5e-07,511,0.00477,561,0.938
512,9.5e-07,512,0.0209,562,0.937
513,9.5e-07,513,0.0881,563,0.938
514,9.5e-07,514,0.306,564,0.939
515,9.5e-07,515,0.689,565,0.941
516,9.5e-07,516,0.912,566,0.944
517,9.5e-07,517,0.944,567,0.946
518,9.5e-07,518,0.952,568,0.949
519,9.5e-07,519,0.95,569,0.951
520,9.5e-07,520,0.948,570,0.951
521,9.5e-07,521,0.949,571,0.951
522,9.5e-07,522,0.952,572,0.95
523,9.5e-07,523,0.951,573,0.948
524,9.5e-07,524,0.952,574,0.945
525,9.5e-07,525,0.95,575,0.941
526,9.5e-07,526,0.949,576,0.938
527,9.5e-07,527,0.949,577,0.935
