Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,5.59e-07,300.5,9.5e-07,380,8.03e-05
301,5.78e-07,301,9.5e-07,381,0.000273
302,5.89e-07,301.5,9.5e-07,382,0.000523
303,1e-08,302,9.5e-07,383,0.00103
304,2.1e-07,302.5,9.5e-07,384,0.00163
305,5.09e-07,303,9.5e-07,385,0.000314
306,3.94e-07,303.5,9.5e-07,386,0.000875
307,6.38e-07,304,9.5e-07,387,0.000313
308,1e-08,304.5,9.5e-07,388,0.00115
309,6.3e-07,305,9.5e-07,389,0.00109
310,5.42e-07,305.5,9.5e-07,390,0.000495
311,1e-08,306,9.5e-07,391,0.00113
312,1e-08,306.5,9.5e-07,392,0.000449
313,1.64e-09,307,9.5e-07,393,0.000579
314,1e-08,307.5,9.5e-07,394,0.00165
315,1.17e-07,308,9.5e-07,395,0.000966
316,1e-08,308.5,9.5e-07,396,9.5e-07
317,6.8e-07,309,9.5e-07,397,4.59e-05
318,1e-08,309.5,9.5e-07,398,0.000955
319,7.79e-07,310,9.5e-07,399,0.000257
320,1e-08,310.5,9.5e-07,400,0.000237
321,7.52e-07,311,9.5e-07,401,0.00133
322,1e-08,311.5,9.5e-07,402,0.000272
323,1e-08,312,9.5e-07,403,0.000777
324,1.06e-07,312.5,9.5e-07,404,0.000819
325,1.2e-06,313,9.5e-07,405,0.000693
326,7.09e-07,313.5,9.5e-07,406,0.000222
327,3.06e-07,314,9.5e-07,407,0.00038
328,1e-08,314.5,9.5e-07,408,0.000781
329,4.25e-08,315,9.5e-07,409,0.000541
330,1e-08,315.5,9.5e-07,410,0.000722
331,1e-08,316,9.5e-07,411,0.00034
332,1.67e-07,316.5,9.5e-07,412,0.000664
333,2.35e-07,317,9.5e-07,413,0.000705
334,5.23e-07,317.5,9.5e-07,414,0.000739
335,6.95e-07,318,9.5e-07,415,0.00072
336,2.33e-07,318.5,9.5e-07,416,0.000865
337,1e-08,319,9.5e-07,417,0.00111
338,2.49e-07,319.5,9.5e-07,418,0.000873
339,7.28e-07,320,9.5e-07,419,0.000899
340,1.52e-07,320.5,9.5e-07,420,0.000635
341,1e-08,321,9.5e-07,421,0.000484
342,1e-08,321.5,9.5e-07,422,0.000738
343,1.56e-07,322,9.5e-07,423,0.000414
344,1.8e-07,322.5,9.5e-07,424,0.000536
345,4.26e-07,323,9.5e-07,425,0.00062
346,7.86e-07,323.5,9.5e-07,426,0.000899
347,7.34e-07,324,9.5e-07,427,0.00102
348,5.96e-07,324.5,9.5e-07,428,0.000652
349,1.25e-07,325,9.5e-07,429,0.000673
350,2.59e-07,325.5,9.5e-07,430,0.000626
351,2.39e-07,326,9.5e-07,431,0.000679
352,5.5e-07,326.5,9.5e-07,432,0.000565
353,3.69e-07,327,9.5e-07,433,0.000704
354,2.47e-07,327.5,9.5e-07,434,0.0015
355,4.71e-07,328,9.5e-07,435,0.00152
356,3.4e-07,328.5,9.5e-07,436,0.00211
357,1.97e-07,329,9.5e-07,437,0.00164
358,1e-08,329.5,9.5e-07,438,0.00118
359,4.62e-07,330,9.5e-07,439,0.000998
360,6.7e-07,330.5,9.5e-07,440,0.000692
361,2.37e-07,331,9.5e-07,441,0.000676
362,3.29e-07,331.5,9.5e-07,442,0.000652
363,3.06e-07,332,9.5e-07,443,0.000954
364,2.06e-07,332.5,9.5e-07,444,0.0011
365,2.94e-07,333,9.5e-07,445,0.00182
366,3.63e-08,333.5,9.5e-07,446,0.00353
367,2.86e-07,334,9.5e-07,447,0.00522
368,2.06e-08,334.5,9.5e-07,448,0.00505
369,2.87e-07,335,9.5e-07,449,0.00307
370,3.16e-07,335.5,9.5e-07,450,0.00176
371,3.31e-07,336,9.5e-07,451,0.00118
372,1.1e-07,336.5,9.5e-07,452,0.00125
373,2.98e-07,337,9.5e-07,453,0.00123
374,4.59e-07,337.5,9.5e-07,454,0.00109
375,1.36e-07,338,9.5e-07,455,0.00166
376,2.45e-07,338.5,9.5e-07,456,0.00286
377,1.12e-07,339,9.5e-07,457,0.00709
378,2.8e-07,339.5,9.5e-07,458,0.0173
379,3.69e-07,340,9.5e-07,459,0.0201
380,1e-08,340.5,9.5e-07,460,0.0107
381,2.78e-07,341,9.5e-07,461,0.00344
382,1.45e-07,341.5,9.5e-07,462,0.00174
383,1.34e-07,342,9.5e-07,463,0.00111
384,1.92e-07,342.5,9.5e-07,464,0.000941
385,3.61e-07,343,9.5e-07,465,0.0009
386,1.49e-07,343.5,9.5e-07,466,0.000795
387,3.84e-07,344,9.5e-07,467,0.000823
388,1.93e-07,344.5,9.5e-07,468,0.000829
389,1.76e-07,345,9.5e-07,469,0.000805
390,1.07e-07,345.5,9.5e-07,470,0.00097
391,3.14e-07,346,9.5e-07,471,0.00126
392,4.64e-08,346.5,9.5e-07,472,0.00135
393,1.2e-07,347,9.5e-07,473,0.0019
394,3.22e-07,347.5,9.5e-07,474,0.00235
395,4.56e-07,348,9.5e-07,475,0.0033
396,2.41e-07,348.5,9.5e-07,476,0.00481
397,7.33e-07,349,9.5e-07,477,0.00682
398,5.99e-07,349.5,9.5e-07,478,0.00928
399,1.89e-07,350,9.5e-07,479,0.0116
400,7.36e-08,350.5,9.5e-07,480,0.0135
401,1e-08,351,9.5e-07,481,0.0147
402,1e-08,351.5,9.5e-07,482,0.0157
403,2.3e-07,352,9.5e-07,483,0.0168
404,1.16e-07,352.5,9.5e-07,484,0.0183
405,3e-07,353,9.5e-07,485,0.0211
406,1.95e-07,353.5,9.5e-07,486,0.0253
407,3.87e-08,354,9.5e-07,487,0.0326
408,2.04e-07,354.5,9.5e-07,488,0.044
409,1.41e-07,355,9.5e-07,489,0.0608
410,6.9e-08,355.5,9.5e-07,490,0.0895
411,1e-08,356,9.5e-07,491,0.132
412,9.6e-08,356.5,9.5e-07,492,0.199
413,5.92e-08,357,9.5e-07,493,0.285
414,1.93e-07,357.5,9.5e-07,494,0.375
415,1.56e-07,358,9.5e-07,495,0.48
416,1e-08,358.5,9.5e-07,496,0.59
417,1.32e-07,359,9.5e-07,497,0.755
418,1e-08,359.5,9.5e-07,498,0.898
419,4.47e-08,360,9.5e-07,499,0.965
420,5.67e-08,360.5,9.5e-07,500,0.974
