Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.5e-07,300.5,2.97e-06,300,1e-08
301,9.5e-07,301,9.5e-07,301,1e-08
302,9.5e-07,301.5,9.5e-07,302,1e-08
303,9.5e-07,302,9.5e-07,303,1e-08
304,9.5e-07,302.5,9.5e-07,304,1e-08
305,9.5e-07,303,9.5e-07,305,1e-08
306,9.5e-07,303.5,1.5e-06,306,1e-08
307,9.5e-07,304,9.5e-07,307,1e-08
308,9.5e-07,304.5,9.5e-07,308,1e-08
309,9.5e-07,305,9.5e-07,309,1e-08
310,9.5e-07,305.5,9.5e-07,310,1e-08
311,9.5e-07,306,1.84e-06,311,1e-08
312,9.5e-07,306.5,9.5e-07,312,1e-08
313,9.5e-07,307,1.42e-06,313,1e-08
314,9.5e-07,307.5,1e-06,314,1e-08
315,9.5e-07,308,9.5e-07,315,1e-08
316,9.5e-07,308.5,9.5e-07,316,1e-08
317,9.5e-07,309,9.5e-07,317,1e-08
318,9.5e-07,309.5,1.6e-06,318,1e-08
319,9.5e-07,310,1.23e-06,319,0.00024
320,9.5e-07,310.5,9.5e-07,320,1e-08
321,9.5e-07,311,9.5e-07,321,1e-08
322,9.5e-07,311.5,9.5e-07,322,1e-08
323,9.5e-07,312,9.5e-07,323,1e-08
324,9.5e-07,312.5,9.5e-07,324,1e-08
325,9.5e-07,313,1.42e-06,325,1e-08
326,9.5e-07,313.5,1.96e-06,326,1e-08
327,9.5e-07,314,9.5e-07,327,1e-08
328,9.5e-07,314.5,2.91e-06,328,1e-08
329,9.5e-07,315,9.5e-07,329,1e-08
330,9.5e-07,315.5,9.5e-07,330,1e-08
331,9.5e-07,316,9.5e-07,331,1e-08
332,9.5e-07,316.5,9.5e-07,332,1e-08
333,9.5e-07,317,9.5e-07,333,1e-08
334,9.5e-07,317.5,9.5e-07,334,1e-08
335,9.5e-07,318,2.7e-06,335,1e-08
336,9.5e-07,318.5,9.5e-07,336,0.000102
337,9.5e-07,319,1.59e-06,337,1e-08
338,9.5e-07,319.5,9.5e-07,338,1e-08
339,9.5e-07,320,1.5e-06,339,1e-08
340,9.5e-07,320.5,9.5e-07,340,0.00047
341,9.5e-07,321,9.5e-07,341,0.000401
342,9.5e-07,321.5,9.5e-07,342,0.00113
343,9.5e-07,322,2.53e-06,343,0.00201
344,9.5e-07,322.5,9.5e-07,344,0.00324
345,9.5e-07,323,2.82e-06,345,0.00543
346,9.5e-07,323.5,9.5e-07,346,0.00897
347,9.5e-07,324,9.64e-07,347,0.0131
348,9.5e-07,324.5,9.5e-07,348,0.0188
349,9.5e-07,325,9.5e-07,349,0.0279
350,9.5e-07,325.5,9.5e-07,350,0.0398
351,9.5e-07,326,9.5e-07,351,0.0516
352,9.5e-07,326.5,1.89e-06,352,0.0621
353,9.5e-07,327,9.5e-07,353,0.0776
354,9.5e-07,327.5,9.5e-07,354,0.103
355,9.5e-07,328,9.5e-07,355,0.12
356,9.5e-07,328.5,9.5e-07,356,0.123
357,9.5e-07,329,9.5e-07,357,0.141
358,9.5e-07,329.5,9.5e-07,358,0.187
359,1e-06,330,2.19e-06,359,0.218
360,1.75e-06,330.5,9.5e-07,360,0.214
361,9.5e-07,331,9.5e-07,361,0.229
362,9.5e-07,331.5,1.34e-06,362,0.302
363,9.5e-07,332,1.37e-06,363,0.382
364,9.5e-07,332.5,9.5e-07,364,0.397
365,9.5e-07,333,9.5e-07,365,0.36
366,9.5e-07,333.5,9.5e-07,366,0.354
367,9.5e-07,334,9.5e-07,367,0.407
368,9.5e-07,334.5,9.5e-07,368,0.487
369,9.5e-07,335,9.5e-07,369,0.501
370,9.5e-07,335.5,9.5e-07,370,0.41
371,9.5e-07,336,9.5e-07,371,0.314
372,9.5e-07,336.5,1.73e-06,372,0.309
373,9.5e-07,337,9.5e-07,373,0.38
374,9.5e-07,337.5,9.5e-07,374,0.428
375,9.5e-07,338,9.5e-07,375,0.383
376,9.5e-07,338.5,9.5e-07,376,0.312
377,9.5e-07,339,9.5e-07,377,0.31
378,9.5e-07,339.5,9.5e-07,378,0.376
379,9.5e-07,340,9.5e-07,379,0.489
380,9.5e-07,340.5,9.5e-07,380,0.582
381,9.5e-07,341,9.5e-07,381,0.607
382,9.5e-07,341.5,9.5e-07,382,0.522
383,9.5e-07,342,9.5e-07,383,0.395
384,9.5e-07,342.5,9.5e-07,384,0.318
385,9.5e-07,343,9.5e-07,385,0.327
386,9.5e-07,343.5,1.4e-06,386,0.355
387,9.5e-07,344,9.5e-07,387,0.356
388,9.5e-07,344.5,9.5e-07,388,0.269
389,9.5e-07,345,9.5e-07,389,0.113
390,9.5e-07,345.5,9.5e-07,390,0.0217
391,9.5e-07,346,9.5e-07,391,0.00471
392,9.5e-07,346.5,9.5e-07,392,0.00273
393,9.5e-07,347,9.5e-07,393,0.00151
394,9.5e-07,347.5,9.5e-07,394,0.00115
395,9.5e-07,348,9.5e-07,395,0.00101
396,9.5e-07,348.5,9.5e-07,396,0.000785
397,9.5e-07,349,9.5e-07,397,0.00147
398,9.5e-07,349.5,9.5e-07,398,0.00184
399,9.5e-07,350,9.5e-07,399,0.00147
400,9.5e-07,350.5,9.5e-07,400,0.0035
401,9.5e-07,351,9.5e-07,401,0.00704
402,9.5e-07,351.5,9.5e-07,402,0.0141
403,9.5e-07,352,9.5e-07,403,0.0232
404,9.5e-07,352.5,9.5e-07,404,0.0297
405,9.5e-07,353,9.5e-07,405,0.0408
406,9.5e-07,353.5,9.5e-07,406,0.07
407,9.5e-07,354,9.5e-07,407,0.128
408,9.5e-07,354.5,9.5e-07,408,0.258
409,9.5e-07,355,9.5e-07,409,0.409
410,9.5e-07,355.5,9.5e-07,410,0.47
411,9.5e-07,356,9.5e-07,411,0.43
