Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,1.47e-06,300,4.77e-07,380,0.22
301,1e-10,301,3.49e-07,381,0.27
302,4.85e-07,302,2.21e-07,382,0.32
303,1.97e-07,303,1e-10,383,0.4
304,6.96e-07,304,4.23e-07,384,0.373
305,1e-10,305,4.93e-07,385,0.225
306,3.94e-07,306,4.75e-07,386,0.167
307,4.2e-07,307,1e-10,387,0.196
308,8.37e-07,308,4.25e-08,388,0.128
309,1e-10,309,1e-10,389,0.0293
310,6.66e-07,310,4.5e-07,390,0.00489
311,7.58e-07,311,1e-10,391,0.0018
312,4.34e-07,312,6.91e-07,392,0.000687
313,3.17e-07,313,4.16e-07,393,0.00109
314,8.49e-07,314,1e-10,394,0.000583
315,3.61e-07,315,2.73e-07,395,0.00112
316,7.71e-07,316,2.76e-07,396,0.000232
317,5.27e-07,317,1e-10,397,0.000198
318,9.75e-07,318,1e-10,398,0.000904
319,5.67e-07,319,4.49e-07,399,0.000229
320,4.33e-08,320,1e-10,400,0.000672
321,7.1e-07,321,1e-10,401,0.00077
322,7.02e-07,322,1e-10,402,0.000218
323,1e-10,323,1e-10,403,0.000793
324,4.16e-07,324,1e-10,404,0.000804
325,8.77e-07,325,3.9e-07,405,0.000619
326,5.37e-07,326,1e-10,406,0.000802
327,5.5e-07,327,5.67e-07,407,0.00172
328,9.56e-07,328,1e-10,408,0.00576
329,8.23e-07,329,1e-10,409,0.0246
330,7.99e-07,330,1e-10,410,0.0737
331,1.13e-07,331,4.65e-07,411,0.117
332,1.05e-06,332,1e-10,412,0.147
333,3.57e-07,333,5.31e-07,413,0.245
334,5.7e-07,334,1.9e-07,414,0.371
335,5.58e-08,335,4.12e-07,415,0.388
336,5.92e-07,336,1e-10,416,0.36
337,1.58e-07,337,2.85e-07,417,0.403
338,3.16e-07,338,2.24e-08,418,0.421
339,7.2e-07,339,1e-10,419,0.359
340,3.65e-07,340,3.82e-07,420,0.327
341,4.12e-07,341,1e-10,421,0.355
342,7.6e-07,342,1.73e-07,422,0.383
343,7.97e-07,343,2.67e-07,423,0.352
344,3.17e-07,344,2.85e-07,424,0.331
345,8.89e-07,345,3.81e-08,425,0.395
346,4.79e-07,346,1.82e-07,426,0.51
347,1.4e-07,347,3.3e-07,427,0.561
348,8.32e-07,348,2.33e-07,428,0.516
349,1e-10,349,4.49e-07,429,0.448
350,1.7e-07,350,9.27e-08,430,0.455
351,3.52e-07,351,1.93e-07,431,0.528
352,2.33e-07,352,3.15e-08,432,0.589
353,3.94e-07,353,2.07e-08,433,0.596
354,6.9e-07,354,1.78e-07,434,0.568
355,6.9e-07,355,3.47e-07,435,0.535
356,4.7e-07,356,2.7e-07,436,0.502
357,2.89e-07,357,3.59e-07,437,0.482
358,2.68e-07,358,2.4e-07,438,0.492
359,5.19e-07,359,1.84e-07,439,0.531
360,3.19e-07,360,3.78e-08,440,0.582
361,2.18e-07,361,2.37e-08,441,0.59
362,5.22e-07,362,2.6e-07,442,0.532
363,5.39e-07,363,1e-10,443,0.453
364,3.23e-07,364,1.44e-07,444,0.417
365,5.69e-07,365,1e-10,445,0.437
366,2.14e-07,366,3.87e-07,446,0.513
367,4.87e-07,367,4.05e-08,447,0.579
368,3.47e-07,368,2.17e-07,448,0.581
369,6.27e-07,369,1e-10,449,0.514
370,6.05e-07,370,4.92e-07,450,0.449
371,3.14e-07,371,4.71e-07,451,0.423
372,2.9e-07,372,6.25e-07,452,0.448
373,2.81e-07,373,6.25e-07,453,0.51
374,4.46e-07,374,1.16e-06,454,0.572
375,4.69e-07,375,8.19e-07,455,0.605
376,9.07e-07,376,6.33e-07,456,0.595
377,4.65e-07,377,7.31e-07,457,0.561
378,1.01e-06,378,1.06e-06,458,0.532
379,7.13e-07,379,1.76e-06,459,0.521
380,4.05e-07,380,1.1e-06,460,0.528
381,8.53e-07,381,7.23e-07,461,0.548
382,9.97e-07,382,1.01e-06,462,0.574
383,4.8e-07,383,8.15e-07,463,0.593
384,5.52e-07,384,6.23e-07,464,0.596
385,8.53e-07,385,3.07e-07,465,0.575
386,5.26e-07,386,4.38e-07,466,0.534
387,4.85e-07,387,6.53e-07,467,0.489
388,5.94e-07,388,1.15e-06,468,0.443
389,4.09e-07,389,9.89e-07,469,0.412
390,4.17e-07,390,7.85e-07,470,0.393
391,3.78e-07,391,5.84e-07,471,0.39
392,3.81e-07,392,1.04e-06,472,0.4
393,7.16e-07,393,1.8e-06,473,0.413
394,7.63e-07,394,1.39e-06,474,0.411
395,7.65e-07,395,9.77e-07,475,0.382
396,6.75e-07,396,8.48e-07,476,0.325
397,6.15e-07,397,8.06e-07,477,0.259
398,5.33e-07,398,1.2e-06,478,0.206
399,1.16e-06,399,1.29e-06,479,0.181
400,1.8e-06,400,1e-06,480,0.189
401,5.78e-07,401,9.1e-07,481,0.241
402,5.75e-07,402,1.33e-06,482,0.324
403,3.22e-07,403,2.54e-06,483,0.386
404,6.25e-07,404,1.82e-06,484,0.396
405,1.46e-06,405,1.02e-06,485,0.345
406,1.56e-06,406,4.78e-07,486,0.276
407,1.03e-06,407,4.54e-07,487,0.225
