Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,7.55e-06,300,1.11e-06,350,0.00137
301,5.47e-06,301,9.5e-07,351,0.000737
302,3.37e-06,302,9.5e-07,352,0.000557
303,9.5e-07,303,9.5e-07,353,0.000696
304,1.32e-06,304,9.5e-07,354,0.00056
305,9.5e-07,305,9.5e-07,355,0.000667
306,3.71e-06,306,9.5e-07,356,0.000827
307,9.5e-07,307,9.5e-07,357,0.00146
308,1.6e-06,308,9.5e-07,358,0.00373
309,9.5e-07,309,9.5e-07,359,0.0114
310,3.78e-06,310,9.5e-07,360,0.0362
311,9.5e-07,311,1.34e-06,361,0.0842
312,9.5e-07,312,9.5e-07,362,0.14
313,6.41e-06,313,9.74e-07,363,0.193
314,9.5e-07,314,9.5e-07,364,0.251
315,9.5e-07,315,9.5e-07,365,0.317
316,9.5e-07,316,9.5e-07,366,0.396
317,9.5e-07,317,9.5e-07,367,0.459
318,6.72e-06,318,9.5e-07,368,0.474
319,9.5e-07,319,9.5e-07,369,0.447
320,9.5e-07,320,1.04e-06,370,0.44
321,7.93e-06,321,9.5e-07,371,0.471
322,3.56e-06,322,9.5e-07,372,0.515
323,3.72e-06,323,9.5e-07,373,0.542
324,9.63e-07,324,9.5e-07,374,0.544
325,9.81e-06,325,9.5e-07,375,0.588
326,9.5e-07,326,9.5e-07,376,0.668
327,3.29e-06,327,9.5e-07,377,0.735
328,9.5e-07,328,9.5e-07,378,0.753
329,9.5e-07,329,9.5e-07,379,0.739
330,2.97e-06,330,9.5e-07,380,0.748
331,9.5e-07,331,9.5e-07,381,0.776
332,9.5e-07,332,9.5e-07,382,0.793
333,9.5e-07,333,9.5e-07,383,0.798
334,9.5e-07,334,9.5e-07,384,0.825
335,9.5e-07,335,9.5e-07,385,0.86
336,4.71e-06,336,9.5e-07,386,0.81
337,9.5e-07,337,9.5e-07,387,0.658
338,9.5e-07,338,9.5e-07,388,0.513
339,9.5e-07,339,9.5e-07,389,0.486
340,1.59e-06,340,9.5e-07,390,0.554
341,2.55e-06,341,9.5e-07,391,0.706
342,9.5e-07,342,9.5e-07,392,0.83
343,9.5e-07,343,1.52e-06,393,0.789
344,8.15e-06,344,1.42e-06,394,0.652
345,9.5e-07,345,2.81e-06,395,0.551
346,9.5e-07,346,4.96e-06,396,0.542
347,9.5e-07,347,3.25e-06,397,0.588
348,9.5e-07,348,2.33e-06,398,0.66
349,9.5e-07,349,3.66e-06,399,0.736
350,2.32e-06,350,5.03e-06,400,0.796
351,9.5e-07,351,2.43e-06,401,0.787
352,9.5e-07,352,1.74e-06,402,0.677
353,3.27e-06,353,2.85e-06,403,0.562
354,9.5e-07,354,2.44e-06,404,0.52
355,9.5e-07,355,3.67e-06,405,0.513
356,9.5e-07,356,7.11e-06,406,0.532
357,9.5e-07,357,1.27e-05,407,0.533
358,9.5e-07,358,8.95e-06,408,0.474
359,9.5e-07,359,4.64e-06,409,0.432
360,9.5e-07,360,1.71e-05,410,0.448
361,9.5e-07,361,3.04e-05,411,0.472
362,9.5e-07,362,4.91e-05,412,0.461
363,9.5e-07,363,1.2e-05,413,0.428
364,9.5e-07,364,8.66e-06,414,0.385
365,3.85e-06,365,4.44e-05,415,0.329
366,1.67e-06,366,7.59e-05,416,0.243
367,2.23e-06,367,5.96e-05,417,0.152
368,9.5e-07,368,7.64e-06,418,0.0858
369,9.5e-07,369,5.03e-06,419,0.0495
370,2.16e-06,370,5.7e-05,420,0.0334
371,9.5e-07,371,8.46e-05,421,0.0261
372,9.5e-07,372,4.25e-05,422,0.0257
373,9.5e-07,373,1.57e-05,423,0.0359
374,1.61e-06,374,4.56e-06,424,0.061
375,1.03e-06,375,2.36e-05,425,0.123
376,9.5e-07,376,0.000111,426,0.188
377,9.5e-07,377,1.79e-05,427,0.166
378,9.5e-07,378,1.34e-05,428,0.0739
379,9.5e-07,379,1.65e-05,429,0.0278
380,9.5e-07,380,9.33e-06,430,0.0148
381,9.5e-07,381,9.37e-05,431,0.0113
382,9.5e-07,382,6.45e-05,432,0.0112
383,9.5e-07,383,3.84e-06,433,0.0155
384,1.08e-06,384,5.29e-06,434,0.0269
385,9.5e-07,385,1.26e-05,435,0.0401
386,9.5e-07,386,7.03e-05,436,0.0397
387,7.04e-06,387,0.000143,437,0.0232
388,1.21e-06,388,1.77e-05,438,0.0104
389,9.5e-07,389,5.44e-06,439,0.00506
390,9.5e-07,390,6.91e-06,440,0.00316
391,9.5e-07,391,4.5e-05,441,0.0026
392,1.3e-06,392,0.00019,442,0.00243
393,2.34e-06,393,4.6e-05,443,0.00292
394,9.5e-07,394,2.2e-05,444,0.00437
395,9.5e-07,395,1.36e-05,445,0.00785
396,9.5e-07,396,7.51e-06,446,0.0124
397,9.5e-07,397,0.000129,447,0.0127
398,2.42e-06,398,0.000168,448,0.00846
399,1.28e-06,399,5.26e-06,449,0.00417
400,1.43e-06,400,4.8e-06,450,0.00217
401,9.5e-07,401,3.36e-05,451,0.0014
402,9.5e-07,402,4.37e-05,452,0.00117
403,3.24e-06,403,0.000136,453,0.001
404,9.5e-07,404,0.000174,454,0.00111
405,9.5e-07,405,5.67e-06,455,0.00128
406,9.5e-07,406,2.62e-06,456,0.00212
407,9.5e-07,407,5.08e-06,457,0.00394
408,1.74e-06,408,5.97e-05,458,0.00602
409,9.5e-07,409,0.000203,459,0.00673
410,2.5e-06,410,0.000209,460,0.00488
411,9.5e-07,411,6.11e-05,461,0.00265
412,1.56e-06,412,1.09e-05,462,0.00143
413,9.5e-07,413,9.86e-06,463,0.000993
414,9.5e-07,414,3.96e-05,464,0.000761
415,9.5e-07,415,0.000334,465,0.000604
416,9.5e-07,416,0.000215,466,0.000664
417,9.5e-07,417,5.06e-05,467,0.000755
418,9.5e-07,418,2.8e-05,468,0.00114
419,9.5e-07,419,2.68e-05,469,0.00176
420,9.5e-07,420,0.000125,470,0.00288
421,9.5e-07,421,0.000542,471,0.00469
422,9.5e-07,422,0.000116,472,0.00569
423,9.5e-07,423,2.4e-05,473,0.00483
424,9.5e-07,424,3.01e-05,474,0.00306
425,9.5e-07,425,0.000129,475,0.00173
426,9.5e-07,426,0.000532,476,0.00116
427,9.5e-07,427,0.000106,477,0.000944
428,9.5e-07,428,9.2e-06,478,0.000736
429,9.5e-07,429,1.4e-05,479,0.000798
430,9.5e-07,430,0.000381,480,0.000729
431,9.5e-07,431,0.000124,481,0.00103
432,9.5e-07,432,2.98e-06,482,0.00143
433,1.26e-06,433,7.06e-05,483,0.0023
434,9.5e-07,434,8.33e-05,484,0.00376
435,9.5e-07,435,9.5e-07,485,0.0059
436,9.5e-07,436,9.5e-07,486,0.00698
437,9.5e-07,437,9.5e-07,487,0.00583
438,9.5e-07,438,9.5e-07,488,0.00355
439,9.5e-07,439,9.5e-07,489,0.00193
440,9.5e-07,440,9.5e-07,490,0.00143
441,9.5e-07,441,9.5e-07,491,0.00109
442,1.55e-06,442,9.5e-07,492,0.000896
443,9.5e-07,443,9.5e-07,493,0.000955
444,9.5e-07,444,9.5e-07,494,0.00107
445,9.5e-07,445,9.5e-07,495,0.00153
446,9.5e-07,446,9.5e-07,496,0.00224
447,9.5e-07,447,9.5e-07,497,0.00341
448,9.96e-07,448,9.5e-07,498,0.00574
449,9.5e-07,449,9.5e-07,499,0.0103
450,9.5e-07,450,9.5e-07,500,0.0121
451,9.5e-07,451,9.5e-07,501,0.00882
452,9.5e-07,452,9.5e-07,502,0.00488
453,9.5e-07,453,9.5e-07,503,0.00255
454,9.5e-07,454,9.5e-07,504,0.00177
455,1.21e-06,455,9.5e-07,505,0.0013
456,9.5e-07,456,9.5e-07,506,0.00139
457,9.5e-07,457,9.5e-07,507,0.00156
458,9.5e-07,458,9.5e-07,508,0.00168
459,9.5e-07,459,9.5e-07,509,0.00173
460,2.01e-06,460,9.5e-07,510,0.00248
461,1.43e-06,461,9.5e-07,511,0.00521
462,9.5e-07,462,9.5e-07,512,0.0139
463,9.5e-07,463,9.5e-07,513,0.0215
464,9.5e-07,464,9.5e-07,514,0.0169
465,9.5e-07,465,9.5e-07,515,0.00663
466,9.5e-07,466,9.5e-07,516,0.00215
467,9.5e-07,467,9.5e-07,517,0.00101
468,9.5e-07,468,9.5e-07,518,0.000576
469,9.5e-07,469,9.5e-07,519,0.000474
470,9.5e-07,470,9.5e-07,520,0.000316
471,9.5e-07,471,9.5e-07,521,0.000222
472,9.5e-07,472,9.5e-07,522,0.000183
473,9.5e-07,473,9.5e-07,523,0.000169
474,9.5e-07,474,9.5e-07,524,0.000203
475,9.5e-07,475,9.5e-07,525,0.000146
476,9.5e-07,476,9.5e-07,526,0.000128
477,9.5e-07,477,9.5e-07,527,0.000164
478,9.5e-07,478,9.5e-07,528,0.000139
479,9.5e-07,479,9.5e-07,529,0.000124
480,9.5e-07,480,9.5e-07,530,0.000204
481,9.5e-07,481,9.5e-07,531,0.000159
482,9.5e-07,482,9.5e-07,532,0.000185
483,9.5e-07,483,9.5e-07,533,0.000202
484,9.5e-07,484,9.5e-07,534,0.000268
485,9.5e-07,485,9.5e-07,535,0.000308
486,9.5e-07,486,9.5e-07,536,0.000306
487,9.5e-07,487,9.5e-07,537,0.000354
488,9.5e-07,488,9.5e-07,538,0.000527
489,9.5e-07,489,9.5e-07,539,0.000688
490,9.5e-07,490,9.5e-07,540,0.000863
491,9.5e-07,491,9.5e-07,541,0.00115
492,9.5e-07,492,9.5e-07,542,0.00149
493,9.5e-07,493,9.5e-07,543,0.00207
494,9.5e-07,494,9.5e-07,544,0.00286
495,9.5e-07,495,9.5e-07,545,0.00385
496,9.5e-07,496,9.5e-07,546,0.00509
497,9.5e-07,497,9.5e-07,547,0.00649
498,9.5e-07,498,9.5e-07,548,0.00811
499,9.5e-07,499,9.5e-07,549,0.00987
500,9.5e-07,500,9.5e-07,550,0.0116
501,9.5e-07,501,9.5e-07,551,0.0135
502,9.5e-07,502,9.5e-07,552,0.0158
503,9.5e-07,503,9.5e-07,553,0.0183
504,9.5e-07,504,9.5e-07,554,0.0219
505,9.5e-07,505,9.5e-07,555,0.0262
506,9.5e-07,506,9.5e-07,556,0.0326
507,9.5e-07,507,9.5e-07,557,0.042
508,9.5e-07,508,9.5e-07,558,0.0537
509,9.5e-07,509,9.5e-07,559,0.0694
510,9.5e-07,510,9.5e-07,560,0.0971
511,9.5e-07,511,9.5e-07,561,0.136
512,9.5e-07,512,9.5e-07,562,0.186
513,9.5e-07,513,9.5e-07,563,0.252
514,9.5e-07,514,9.5e-07,564,0.32
515,9.5e-07,515,9.5e-07,565,0.392
516,9.5e-07,516,9.5e-07,566,0.452
517,1.15e-06,517,9.5e-07,567,0.503
518,1.64e-06,518,9.5e-07,568,0.551
519,5.23e-06,519,9.5e-07,569,0.608
520,1.19e-05,520,9.5e-07,570,0.68
521,2.78e-05,521,9.5e-07,571,0.759
522,7.43e-05,522,9.5e-07,572,0.831
523,0.000196,523,9.5e-07,573,0.887
524,0.000603,524,9.5e-07,574,0.92
