Wavelength (nm),Excitation Filter,Wavelength (nm),Emission Filter,Wavelength (nm),Dichroic
300,9.5e-07,300,1.45e-06,350,0.0298
300.5,9.5e-07,300.5,9.5e-07,351,0.0315
301,9.5e-07,301,9.5e-07,352,0.0331
301.5,9.5e-07,301.5,1.32e-06,353,0.0347
302,9.5e-07,302,9.5e-07,354,0.0456
302.5,9.5e-07,302.5,9.5e-07,355,0.0511
303,9.5e-07,303,9.5e-07,356,0.0496
303.5,9.5e-07,303.5,9.5e-07,357,0.0513
304,9.5e-07,304,9.5e-07,358,0.0448
304.5,9.5e-07,304.5,9.5e-07,359,0.0309
305,9.5e-07,305,9.5e-07,360,0.0216
305.5,9.5e-07,305.5,9.5e-07,361,0.0123
306,9.5e-07,306,1.31e-06,362,0.00322
306.5,9.5e-07,306.5,9.5e-07,363,0.000454
307,9.5e-07,307,9.5e-07,364,0.000214
307.5,9.5e-07,307.5,9.5e-07,365,0.000133
308,9.5e-07,308,9.5e-07,366,1.46e-06
308.5,9.5e-07,308.5,9.5e-07,367,2.3e-05
309,9.5e-07,309,1.19e-06,368,1.03e-05
309.5,9.5e-07,309.5,9.5e-07,369,0.000165
310,9.5e-07,310,9.5e-07,370,0.000311
310.5,9.5e-07,310.5,9.5e-07,371,0.000597
311,9.5e-07,311,9.5e-07,372,0.00226
311.5,9.63e-07,311.5,9.5e-07,373,0.00949
312,9.5e-07,312,9.5e-07,374,0.0344
312.5,9.5e-07,312.5,9.5e-07,375,0.0861
313,9.5e-07,313,9.5e-07,376,0.159
313.5,1.2e-06,313.5,9.5e-07,377,0.254
314,9.5e-07,314,9.5e-07,378,0.366
314.5,9.5e-07,314.5,9.5e-07,379,0.49
315,9.5e-07,315,9.5e-07,380,0.593
315.5,9.5e-07,315.5,9.5e-07,381,0.639
316,9.5e-07,316,9.5e-07,382,0.636
316.5,9.5e-07,316.5,9.5e-07,383,0.631
317,9.5e-07,317,9.5e-07,384,0.627
317.5,9.5e-07,317.5,9.5e-07,385,0.624
318,9.5e-07,318,9.5e-07,386,0.628
318.5,9.5e-07,318.5,1.29e-06,387,0.613
319,9.5e-07,319,1.48e-06,388,0.595
319.5,9.5e-07,319.5,9.5e-07,389,0.662
320,9.5e-07,320,9.5e-07,390,0.783
320.5,9.5e-07,320.5,9.5e-07,391,0.847
321,9.5e-07,321,9.5e-07,392,0.82
321.5,9.5e-07,321.5,9.5e-07,393,0.797
322,9.5e-07,322,9.5e-07,394,0.814
322.5,9.5e-07,322.5,9.5e-07,395,0.832
323,9.5e-07,323,9.5e-07,396,0.84
323.5,9.5e-07,323.5,1.49e-06,397,0.845
324,9.5e-07,324,9.5e-07,398,0.772
324.5,1.02e-06,324.5,9.5e-07,399,0.61
325,9.5e-07,325,9.5e-07,400,0.493
325.5,9.5e-07,325.5,9.5e-07,401,0.483
326,1.05e-06,326,9.5e-07,402,0.619
326.5,9.5e-07,326.5,9.5e-07,403,0.762
327,9.5e-07,327,9.5e-07,404,0.706
327.5,1.24e-06,327.5,1.04e-06,405,0.523
328,9.5e-07,328,1.02e-06,406,0.447
328.5,9.5e-07,328.5,1.12e-06,407,0.521
329,9.5e-07,329,9.5e-07,408,0.702
329.5,9.5e-07,329.5,9.5e-07,409,0.788
330,9.5e-07,330,9.5e-07,410,0.694
330.5,9.5e-07,330.5,9.5e-07,411,0.548
331,9.5e-07,331,9.5e-07,412,0.492
331.5,9.5e-07,331.5,9.5e-07,413,0.519
332,9.5e-07,332,9.5e-07,414,0.604
332.5,9.5e-07,332.5,1.12e-06,415,0.7
333,9.5e-07,333,9.5e-07,416,0.776
333.5,9.5e-07,333.5,9.5e-07,417,0.759
334,9.5e-07,334,9.5e-07,418,0.667
334.5,9.5e-07,334.5,9.5e-07,419,0.567
335,9.5e-07,335,9.5e-07,420,0.539
335.5,9.5e-07,335.5,9.5e-07,421,0.576
336,9.5e-07,336,9.5e-07,422,0.615
336.5,9.5e-07,336.5,9.5e-07,423,0.567
337,9.5e-07,337,9.5e-07,424,0.51
337.5,9.5e-07,337.5,9.5e-07,425,0.503
338,9.5e-07,338,9.5e-07,426,0.501
338.5,9.5e-07,338.5,9.5e-07,427,0.482
339,9.6e-07,339,9.5e-07,428,0.435
339.5,9.5e-07,339.5,9.5e-07,429,0.401
340,9.5e-07,340,9.5e-07,430,0.428
340.5,9.5e-07,340.5,9.5e-07,431,0.465
341,9.5e-07,341,9.5e-07,432,0.458
341.5,9.5e-07,341.5,9.5e-07,433,0.416
342,9.5e-07,342,9.5e-07,434,0.346
342.5,9.5e-07,342.5,9.5e-07,435,0.244
343,9.5e-07,343,9.5e-07,436,0.131
343.5,9.5e-07,343.5,1.82e-06,437,0.0607
344,9.5e-07,344,3.21e-06,438,0.0326
344.5,9.5e-07,344.5,3.4e-06,439,0.021
345,9.5e-07,345,3.33e-06,440,0.0203
345.5,9.5e-07,345.5,3.8e-06,441,0.035
346,9.5e-07,346,6.64e-06,442,0.0717
346.5,9.5e-07,346.5,7.37e-06,443,0.154
347,9.5e-07,347,1.06e-05,444,0.214
347.5,9.5e-07,347.5,1.23e-05,445,0.128
348,9.5e-07,348,1.32e-05,446,0.0422
348.5,9.5e-07,348.5,1.42e-05,447,0.0218
349,9.5e-07,349,1.33e-05,448,0.0213
349.5,9.5e-07,349.5,1.29e-05,449,0.036
350,9.5e-07,350,1.34e-05,450,0.0595
350.5,9.5e-07,350.5,1.25e-05,451,0.0617
351,9.5e-07,351,1.94e-05,452,0.0356
351.5,9.5e-07,351.5,2.82e-05,453,0.0126
352,9.5e-07,352,3.13e-05,454,0.0062
352.5,9.5e-07,352.5,3.09e-05,455,0.00458
353,9.5e-07,353,2.23e-05,456,0.00517
353.5,9.5e-07,353.5,1.74e-05,457,0.0089
354,9.5e-07,354,2.42e-05,458,0.0169
354.5,9.5e-07,354.5,4e-05,459,0.0217
355,9.5e-07,355,5.01e-05,460,0.0155
355.5,9.5e-07,355.5,4.99e-05,461,0.00653
356,9.5e-07,356,5.78e-05,462,0.00308
356.5,9.5e-07,356.5,7.02e-05,463,0.00182
357,9.5e-07,357,6.88e-05,464,0.00168
357.5,9.5e-07,357.5,6.16e-05,465,0.0022
358,9.5e-07,358,5.44e-05,466,0.00362
358.5,9.5e-07,358.5,3.79e-05,467,0.007
359,9.5e-07,359,1.72e-05,468,0.00953
359.5,9.5e-07,359.5,6.23e-06,469,0.00805
360,9.5e-07,360,7.7e-06,470,0.00426
360.5,9.5e-07,360.5,2.03e-05,471,0.00191
361,9.5e-07,361,3.49e-05,472,0.00123
361.5,9.5e-07,361.5,3.96e-05,473,0.000956
362,9.5e-07,362,3.96e-05,474,0.00104
362.5,9.5e-07,362.5,2.75e-05,475,0.00143
363,9.5e-07,363,1.47e-05,476,0.00269
363.5,9.5e-07,363.5,5.53e-06,477,0.00485
364,9.5e-07,364,9.5e-06,478,0.00639
364.5,9.5e-07,364.5,1.79e-05,479,0.00488
365,9.5e-07,365,2.19e-05,480,0.00241
365.5,9.5e-07,365.5,1.2e-05,481,0.0012
366,9.5e-07,366,8.4e-06,482,0.000838
366.5,9.5e-07,366.5,1.44e-05,483,0.000682
367,9.5e-07,367,3.23e-05,484,0.000718
367.5,9.5e-07,367.5,4.45e-05,485,0.000917
368,9.5e-07,368,5.44e-05,486,0.00176
368.5,9.5e-07,368.5,6.42e-05,487,0.00327
369,9.5e-07,369,5.68e-05,488,0.00454
369.5,9.5e-07,369.5,2.86e-05,489,0.00426
370,9.5e-07,370,7.49e-06,490,0.00256
370.5,9.5e-07,370.5,4.73e-06,491,0.0014
371,9.5e-07,371,8.43e-06,492,0.000898
371.5,9.5e-07,371.5,2.86e-05,493,0.000697
372,9.5e-07,372,5.06e-05,494,0.000742
372.5,9.5e-07,372.5,4.9e-05,495,0.000796
373,9.5e-07,373,2.36e-05,496,0.00146
373.5,9.5e-07,373.5,1.5e-05,497,0.00281
374,9.5e-07,374,1.35e-05,498,0.00462
374.5,9.5e-07,374.5,1.07e-05,499,0.00534
375,9.5e-07,375,7.54e-06,500,0.00367
375.5,9.5e-07,375.5,1.14e-05,501,0.00198
376,9.5e-07,376,2.93e-05,502,0.00118
376.5,9.5e-07,376.5,4.41e-05,503,0.000821
377,9.5e-07,377,3.34e-05,504,0.000638
377.5,9.5e-07,377.5,1.21e-05,505,0.000886
378,9.5e-07,378,3.33e-06,506,0.00117
378.5,9.5e-07,378.5,2.34e-06,507,0.00199
379,9.5e-07,379,4.44e-06,508,0.00364
379.5,9.5e-07,379.5,1.07e-05,509,0.00548
380,9.5e-07,380,2.64e-05,510,0.00573
380.5,9.5e-07,380.5,3.83e-05,511,0.00398
381,9.5e-07,381,3.71e-05,512,0.00212
381.5,9.5e-07,381.5,2.49e-05,513,0.00128
382,9.5e-07,382,1.24e-05,514,0.000954
382.5,9.5e-07,382.5,6.45e-06,515,0.000939
383,9.5e-07,383,2.12e-06,516,0.00112
383.5,9.5e-07,383.5,1.78e-06,517,0.00165
384,9.5e-07,384,3.44e-06,518,0.00239
384.5,9.5e-07,384.5,1.76e-05,519,0.00444
385,9.5e-07,385,3.22e-05,520,0.00854
385.5,9.5e-07,385.5,2.84e-05,521,0.0101
386,9.5e-07,386,1.14e-05,522,0.00727
386.5,9.5e-07,386.5,2.74e-06,523,0.00365
387,9.5e-07,387,2.37e-06,524,0.00202
387.5,9.5e-07,387.5,4.95e-06,525,0.00159
388,9.5e-07,388,6.46e-06,526,0.00162
388.5,9.5e-07,388.5,8.43e-06,527,0.00182
389,9.5e-07,389,1.24e-05,528,0.00204
389.5,9.5e-07,389.5,2.49e-05,529,0.00333
390,9.5e-07,390,3.33e-05,530,0.00706
390.5,9.5e-07,390.5,2.42e-05,531,0.0133
391,9.5e-07,391,7.62e-06,532,0.0151
391.5,9.5e-07,391.5,1.71e-06,533,0.00946
392,9.5e-07,392,9.5e-07,534,0.00408
392.5,9.5e-07,392.5,9.5e-07,535,0.00224
393,9.5e-07,393,1.44e-06,536,0.00155
393.5,9.5e-07,393.5,8.46e-06,537,0.00113
394,9.5e-07,394,2.39e-05,538,0.00115
394.5,9.5e-07,394.5,3.25e-05,539,0.00163
395,9.5e-07,395,2.07e-05,540,0.00456
395.5,9.5e-07,395.5,1.03e-05,541,0.0139
396,9.5e-07,396,9.68e-06,542,0.0233
396.5,9.5e-07,396.5,7.4e-06,543,0.0159
397,9.5e-07,397,2.93e-06,544,0.00422
397.5,9.5e-07,397.5,1.1e-06,545,0.000743
398,9.5e-07,398,1.21e-06,546,0.000292
398.5,9.5e-07,398.5,2.26e-06,547,0.000118
399,9.5e-07,399,1.4e-05,548,0.000103
399.5,9.5e-07,399.5,2.85e-05,549,2.97e-05
400,9.5e-07,400,2.63e-05,550,1.97e-05
400.5,9.5e-07,400.5,1.02e-05,551,4.44e-05
401,9.5e-07,401,1.18e-06,552,5.94e-05
401.5,9.5e-07,401.5,1.28e-06,553,9.92e-06
402,9.5e-07,402,2.34e-06,554,9.5e-07
402.5,9.5e-07,402.5,5.22e-06,555,4.98e-05
403,9.5e-07,403,9.25e-06,556,1.5e-05
403.5,9.5e-07,403.5,9.77e-06,557,1.04e-05
404,9.5e-07,404,1.02e-05,558,3.01e-05
404.5,9.5e-07,404.5,2.05e-05,559,1.04e-06
405,9.5e-07,405,2.8e-05,560,6.17e-05
405.5,9.5e-07,405.5,2.1e-05,561,5.12e-05
406,9.5e-07,406,7.06e-06,562,2.07e-05
406.5,9.5e-07,406.5,1.38e-06,563,1.19e-05
407,9.5e-07,407,9.5e-07,564,5.75e-05
407.5,9.5e-07,407.5,9.58e-07,565,2.46e-05
408,9.5e-07,408,1.31e-06,566,0.000119
408.5,9.5e-07,408.5,4.95e-06,567,0.000114
409,9.5e-07,409,1.89e-05,568,0.000213
409.5,9.5e-07,409.5,3.31e-05,569,0.000258
410,9.5e-07,410,2.7e-05,570,0.000375
410.5,9.5e-07,410.5,1.26e-05,571,0.000374
411,9.5e-07,411,7.61e-06,572,0.000588
411.5,9.5e-07,411.5,7.34e-06,573,0.000749
412,9.5e-07,412,8.48e-06,574,0.000978
412.5,9.5e-07,412.5,6.9e-06,575,0.0011
413,9.5e-07,413,4.67e-06,576,0.00128
413.5,9.5e-07,413.5,3.39e-06,577,0.00152
414,9.5e-07,414,6.27e-06,578,0.00196
414.5,9.5e-07,414.5,2.35e-05,579,0.0024
415,9.5e-07,415,4.39e-05,580,0.00281
415.5,9.5e-07,415.5,3.64e-05,581,0.00368
416,9.5e-07,416,1.36e-05,582,0.00468
416.5,9.5e-07,416.5,1.93e-06,583,0.0064
417,9.5e-07,417,9.5e-07,584,0.00899
417.5,9.5e-07,417.5,9.5e-07,585,0.0134
418,9.5e-07,418,1.25e-06,586,0.0201
418.5,9.5e-07,418.5,3.87e-06,587,0.0322
419,9.5e-07,419,1.49e-05,588,0.0537
419.5,9.5e-07,419.5,3.12e-05,589,0.0866
420,9.5e-07,420,3.36e-05,590,0.146
